ciclo,HOME,objetivo,angulo_objetivo_deg,angulo_medido_deg,error_deg,exito(1/0),tiempo_giro_s,I_idle_mA,I_peak_mA
1,0,A,90,92,2,1,,90,460
2,3,A,90,94,4,1,,90,470
3,4,A,90,92,2,1,,90,490
4,4,A,90,91,1,1,,90,490
5,2,A,90,90,0,1,,90,480
6,3,A,90,94,4,1,,90,460
7,2,A,90,92,2,1,,90,480
8,2,A,90,94,4,1,,90,470
9,1,A,90,91,1,1,,90,490
10,1,A,90,92,2,1,,90,460
11,3,A,90,90,0,1,,90,490
12,4,A,90,94,4,1,,90,460
13,3,A,90,92,2,1,,90,480
14,3,A,90,91,1,1,,90,470
15,4,A,90,94,4,1,,90,490
16,1,A,90,90,0,1,,90,460
17,3,A,90,92,2,1,,90,480
18,4,A,90,94,4,1,,90,470
19,1,A,90,91,1,1,,90,490
20,2,A,90,92,2,1,,90,460
21,3,A,90,90,0,1,,90,480
22,0,A,90,94,4,1,,90,470
23,4,A,90,92,2,1,,90,490
24,3,A,90,91,1,1,,90,460
25,1,A,90,94,4,1,,90,480
26,2,A,90,90,0,1,,90,470
27,4,A,90,92,2,1,,90,490
28,3,A,90,94,4,1,,90,460
29,2,A,90,91,1,1,,90,480
30,1,A,90,92,2,1,,90,470
31,3,A,90,90,0,1,,90,490
32,4,A,90,94,4,1,,90,460
33,2,A,90,91,1,1,,90,480
34,3,A,90,94,4,1,,90,470
35,1,B,180,184,4,1,,90,480
36,4,B,180,185,5,1,,90,470
37,3,B,180,183,3,1,,90,490
38,2,B,180,184,4,1,,90,470
39,4,B,180,182,2,1,,90,450
40,1,B,180,182,2,1,,90,470
41,3,B,180,184,4,1,,90,480
42,3,B,180,183,3,1,,90,490
43,2,B,180,182,2,1,,90,450
44,4,B,180,184,4,1,,90,470
45,1,B,180,183,3,1,,90,490
46,0,B,180,182,2,1,,90,480
47,3,B,180,184,4,1,,90,470
48,2,B,180,185,5,1,,90,450
49,4,B,180,183,3,1,,90,490
50,3,B,180,184,4,1,,90,470
51,1,B,180,182,2,1,,90,480
52,2,B,180,184,4,1,,90,450
53,3,B,180,183,3,1,,90,490
54,4,B,180,185,5,1,,90,470
55,1,B,180,182,2,1,,90,480
56,3,B,180,184,4,1,,90,490
57,2,B,180,183,3,1,,90,450
58,4,B,180,182,2,1,,90,470
59,3,B,180,184,4,1,,90,480
60,1,B,180,185,5,1,,90,490
61,2,B,180,183,3,1,,90,470
62,3,B,180,184,4,1,,90,450
63,4,B,180,182,2,1,,90,480
64,1,B,180,184,4,1,,90,490
65,3,B,180,183,3,1,,90,470
66,2,B,180,185,5,1,,90,480
67,4,B,180,182,2,1,,90,470
68,3,C,270,271,1,1,,90,480
69,1,C,270,273,3,1,,90,500
70,2,C,270,273,3,1,,90,510
71,3,C,270,271,1,1,,90,490
72,4,C,270,270,0,1,,90,470
73,1,C,270,274,4,1,,90,490
74,3,C,270,273,3,1,,90,490
75,2,C,270,272,2,1,,90,480
76,4,C,270,272,2,1,,90,500
77,3,C,270,273,3,1,,90,470
78,1,C,270,270,0,1,,90,510
79,2,C,270,274,4,1,,90,490
80,3,C,270,273,3,1,,90,480
81,4,C,270,271,1,1,,90,490
82,1,C,270,272,2,1,,90,500
83,3,C,270,270,0,1,,90,470
84,2,C,270,274,4,1,,90,510
85,4,C,270,273,3,1,,90,480
86,3,C,270,271,1,1,,90,490
87,1,C,270,272,2,1,,90,500
88,2,C,270,273,3,1,,90,470
89,3,C,270,270,0,1,,90,490
90,4,C,270,274,4,1,,90,480
91,1,C,270,273,3,1,,90,510
92,3,C,270,271,1,1,,90,500
93,2,C,270,273,3,1,,90,470
94,4,C,270,271,1,1,,90,490
95,3,C,270,272,2,1,,90,480
96,1,C,270,270,0,1,,90,500
97,2,C,270,274,4,1,,90,510
98,3,C,270,273,3,1,,90,470
99,4,C,270,271,1,1,,90,490
100,1,C,270,273,3,1,,90,480
